File Path	Display Name	Category (Forward Slash Separated)	Tags (Comma Separated)	Platform Extension	Language Extension
character/wp/wp80/8000/00/wp8000_00.mdf2	wp8000_00.mdf2	Items/Other	wp8000_00.mdf2		
character/wp/wp80/8000/00/wp8000_00.mesh	Hip Pouch	Items/Other	wp8000_00.mesh		
character/wp/wp80/8000/00/wp8000_00_waistpouch_acot.tex	wp8000_00_waistpouch_acot.tex	Items/Other	wp8000_00_waistpouch_acot.tex		
character/wp/wp80/8000/00/wp8000_00_waistpouch_albd.tex	wp8000_00_waistpouch_albd.tex	Items/Other	wp8000_00_waistpouch_albd.tex		
character/wp/wp80/8000/00/wp8000_00_waistpouch_mskm.tex	wp8000_00_waistpouch_mskm.tex	Items/Other	wp8000_00_waistpouch_mskm.tex		
character/wp/wp80/8000/00/wp8000_00_waistpouch_nrmr.tex	wp8000_00_waistpouch_nrmr.tex	Items/Other	wp8000_00_waistpouch_nrmr.tex		
